Market,Brand,Model,Body_Type,Fuel_Type,Year,Available_Date,Dealer,City,Province,Type,Version,Ext_Color,Int_Color,RRP_EUR,Monthly_EUR,APR_pct,Availability,Engine_Raw,URL
ES,Audi,A5 Avant,ESTATE,ICE,2025.0,2026-06-08,"AUTOGANDARA , S- L",Lugo,Lugo,Nuevo,4,Azul Ascari Metalizado,,61715.96,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMDQwMDg2NzMzLTIwMjQ=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,ALDAUTO,Colmenar Viejo,,Nuevo,,1X,,61724.16,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAzMjkwMDMyMjAyLTIwMjY=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,LEIOA WAGEN,Leioa,,Nuevo,3,Blanco Arkona,,61731.09,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDUzNDYwMTI2ODgyLTIwMjU=
ES,Audi,A5 Avant,ESTATE,ICE,2025.0,2026-06-08,MOTOR PACIFICO PREMIUM,San Juan de Alicante,Alicante,Nuevo,4,Negro Mito Metalizado,,61752.67,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzEwNDIwMTY0MDgwLTIwMjU=
ES,Audi,Q3 SUV e-hybrid,SAV,PHEV,2026.0,2026-06-08,LEIOA WAGEN,Leioa,,Nuevo,1,Gris Daytona Efecto Perla,,61777.7,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDUzNDYwMTYwNDg3LTIwMjU=
ES,Audi,Q3 Sportback,SAV,ICE,2026.0,2026-06-08,AUTOPODIUM,Girona,Girona,Nuevo,,2Y,,61785.43,,,soon,Gasolina,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAzMTQwMTE3MDY4LTIwMjU=
ES,Audi,Q3 Sportback,SAV,ICE,2026.0,2026-06-08,"SAFAMOTOR, S-A",Málaga,Málaga,Nuevo,,2Y,,61785.43,,,soon,Gasolina,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDEwOTAwMTE3MDUyLTIwMjU=
ES,Audi,A5 Avant,ESTATE,ICE,2025.0,2026-06-08,VGRS BARCELONA,Barcelona,Barcelona,Nuevo,4,Gris Daytona Efecto Perla,,61789.0,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA4NzIwMDM3MDgyLTIwMjU=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"TUDAUTO, S-L",Tudela,Navarra,Nuevo,,1X,,61804.31,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA1NTcwMTkyNTYyLTIwMjU=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,VGRS VALENCIA,Quart de Poblet,,Nuevo,3,Negro Mito Metalizado,,61827.93,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDUwNDgwMTMyMzc5LTIwMjU=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"F- TOME, S- A",Madrid,Madrid,Nuevo,,V6,,61835.67,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAxNjgwMDAzMjkwLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,TALLERES MANCHEGOS,Alcázar de San Juan,,Nuevo,,U8,,61841.15,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA0ODUwMDM0ODk3LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,TALLERES MANCHEGOS,Alcázar de San Juan,,Nuevo,,U8,,61841.15,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA0ODUwMDM0ODk2LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,TALLERES MANCHEGOS,Alcázar de San Juan,,Nuevo,,0E,,61841.15,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA0ODUwMDQzMzg4LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"BONAVAL PREMIUM, S-L",Santiago de Compostela,A Coruña,Nuevo,,Z9,,61845.53,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA0ODkwMTc3MDMwLTIwMjU=
ES,Audi,A5,SEDAN,ICE,2025.0,2026-06-08,"TARTIERE AUTO, S-L",Lugonés,Lugo,Nuevo,4,Blanco Glaciar Metalizado,,61855.41,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAxMDYwMTY2NzIyLTIwMjU=
ES,Audi,Q3 SUV e-hybrid,SAV,PHEV,2026.0,2026-06-08,"SAFAMOTOR, S-A",Málaga,Málaga,Nuevo,1,Azul Navarra Metalizado,,61885.24,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDEwOTAwMDA4OTI4LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,VILAMOBIL MOTOR,Tarragona,Tarragona,Nuevo,,Z9,,61898.82,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMTIwMDQxMDEyLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,VILAMOBIL MOTOR,Tarragona,Tarragona,Nuevo,,Z9,,61898.82,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMTIwMDQxMDE0LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"MOTORSAN, S-L",Guadalajara,Guadalajara,Nuevo,,N7,,61933.79,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAwMzUwMTkyNjE3LTIwMjU=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,HERCOS PARAYAS,Santander,Cantabria,Nuevo,,2D,,61990.77,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAyMTgwMDM0OTI5LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,HERCOS PARAYAS,Santander,Cantabria,Nuevo,,0E,,61990.77,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAyMTgwMDM0OTMwLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,HERCOS PARAYAS,Santander,Cantabria,Nuevo,,V6,,61990.77,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAyMTgwMDQzNDAwLTIwMjY=
ES,Audi,A5 Avant,ESTATE,ICE,2025.0,2026-06-08,VGRS BARCELONA,Barcelona,Barcelona,Nuevo,4,Blanco Glaciar Metalizado,,61995.99,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA4NzIwMTg2NjUzLTIwMjU=
ES,Audi,Q3 SUV,SAV,ICE,2026.0,2026-06-08,"HUERTAS MOTOR, S-L",Murcia,Murcia,Nuevo,1,Negro Mito Metalizado,,62027.95,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTkwMTI0MDc3LTIwMjU=
ES,Audi,Q3 SUV,SAV,ICE,2026.0,2026-06-08,"HUERTAS MOTOR, S-L",Murcia,Murcia,Nuevo,1,Negro Mito Metalizado,,62027.95,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTkwMTI0MDc2LTIwMjU=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,QUADIS MARZÁ,Castellón de la Plana,Castellón,Nuevo,,0E,,62047.91,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAyMjUwMDU2NzkyLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"MOTORSAN, S-L",Guadalajara,Guadalajara,Nuevo,,Z9,,62081.68,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAwMzUwMDAxODY1LTIwMjY=
ES,Audi,Q3 SUV e-hybrid,SAV,PHEV,2026.0,2026-06-08,QUADIS MOTORSOL,Sant Boi De Llobregat,,Nuevo,1,Azul Navarra Metalizado,,62083.21,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAzODQwMDMxNzc3LTIwMjY=
ES,Audi,Q3 SUV e-hybrid,SAV,PHEV,2026.0,2026-06-08,QUADIS MOTORSOL,Sant Boi De Llobregat,,Nuevo,1,Azul Navarra Metalizado,,62083.21,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAzODQwMDMxNzU4LTIwMjY=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"HUERTAS MOTOR, S-L",Murcia,Murcia,Nuevo,3,Negro Mito Metalizado,,62099.38,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTkwMDk0MDM4LTIwMjU=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"HUERTAS MOTOR, S-L",Murcia,Murcia,Nuevo,3,Negro Mito Metalizado,,62099.38,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTkwMDk0MDM5LTIwMjU=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"HUERTAS MOTOR, S-L",Murcia,Murcia,Nuevo,3,Negro Mito Metalizado,,62099.38,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTkwMTI2ODkzLTIwMjU=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"HUERTAS MOTOR, S-L",Murcia,Murcia,Nuevo,3,Negro Mito Metalizado,,62099.38,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTkwMTI2ODk0LTIwMjU=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"HUERTAS MOTOR, S-L- (CARTAGENA)",Cartagena,Murcia,Nuevo,3,Negro Mito Metalizado,,62099.38,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTcwMTI2ODg3LTIwMjU=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"HUERTAS MOTOR, S-L- (CARTAGENA)",Cartagena,Murcia,Nuevo,3,Gris Daytona Efecto Perla,,62099.38,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTcwMTI2ODg4LTIwMjU=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,QUADIS MARZÁ,Castellón de la Plana,Castellón,Nuevo,,V6,,62101.3,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAyMjUwMDQ5NzI1LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"HUERTAS MOTOR, S-L- (CARTAGENA)",Cartagena,Murcia,Nuevo,,0E,,62101.3,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTcwMDQ5OTMzLTIwMjY=
ES,Audi,A5 Avant,ESTATE,ICE,2025.0,2026-06-08,VILAMOBIL MOTOR,Tarragona,Tarragona,Nuevo,4,Gris Daytona Efecto Perla,,62161.04,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMTIwMDg2NjExLTIwMjQ=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"HUERTAS MOTOR, S-L",Murcia,Murcia,Nuevo,3,Gris Daytona Efecto Perla,,62165.93,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA2NTkwMTg5OTEwLTIwMjU=
ES,Audi,Q5 SUV,SAV,ICE,2025.0,2026-06-08,VILAMOBIL MOTOR,Tarragona,Tarragona,Nuevo,3,Blanco Arkona,,62168.31,,,soon,Gasolina,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMTIwMTE5ODE4LTIwMjU=
ES,Audi,Q3 Sportback,SAV,ICE,2026.0,2026-06-08,"SUPERWAGEN, S-A",Sant Cugat,,Nuevo,,U8,,62189.33,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMTYwMDMyODEyLTIwMjY=
ES,Audi,Q3 Sportback,SAV,ICE,2026.0,2026-06-08,"SUPERWAGEN, S-A",Sant Cugat,,Nuevo,,0E,,62189.33,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMTYwMDMyODE5LTIwMjY=
ES,Audi,Q3 Sportback,SAV,ICE,2026.0,2026-06-08,"SUPERWAGEN, S-A",Sant Cugat,,Nuevo,,0E,,62189.33,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMjAwMTYwMDMyODE4LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,SEALCO MOTOR,Alcorcón,Madrid,Nuevo,,2Y,,62190.72,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAzMDgwMDQwNzY5LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,SEALCO MOTOR,Alcorcón,Madrid,Nuevo,,0E,,62190.72,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAzMDgwMDQwNzY4LTIwMjY=
ES,Audi,A5 Avant,ESTATE,ICE,2026.0,2026-06-08,VERA IMPORT,Vera,,Nuevo,1,Negro Mito Metalizado,,62191.95,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAwNjcwMDMyMTQ2LTIwMjY=
